Common_name,Species_name,Infraclass,Order,N.O,Bs,Bcal,Height,Width,Mass,ECV,ModelVolume,AvgBodyMass
Streaked_tenrec,Hemicentetes_semispinosus,Placental,Afrosoricida,23.09,3.52,6.86,10.99,14.36,1.31,0.85,1.13,0.18
Mongoose,Herpestes_ichneumon,Placental,Carnivorans,76.79,16.18,37.11,30.74,35.09,34.67,22.46,19.46,2.7
Cyclops_leaf_nosed_bat,Hippsiderus_cyclops,Placental,Chiroptera,17.11,6.79,3.82,8.02,10.87,0.83,0.54,0.48,0.035
Capybara,Hydrochoerus_capybara,Placental,Rodentia,133.08,24.18,54.93,63.04,56.98,131.05,84.91,104.65,53
Water_rat,Hydromys_chrysogaster,Placental,Rodentia,36.54,9.37,17.81,16.43,21.55,7.19,4.66,3.74,0.8
water_chevrotain,Hyemoschus_aquaticus,Placental,Artiodactyla,72.7,11.64,26.05,35,36.84,37.06,24.01,23.68,10.85
Gibbon,Hylobates_lar,Placental,Primates,78.37,11.42,24.51,49.03,57.84,153.5,99.45,70.22,0.071
Hammer_headed_fruit_bat,Hypsignathus_monstrous,Placental,Chiroptera,34.08,6.08,13.59,14.08,20.41,4.98,3.23,2.86,0.325
African_crested_porcupine,Hystrix_cristata,Placental,Rodentia,67.6,18.71,38.11,37.45,59.95,59.26,38.39,53.62,20
Zorilla,Ictonyx_striatus,Placental,Carnivorans,47.54,10.84,21.4,22.87,29.29,15.2,9.85,9.3,0.91
Long_eared_flying_squirrel,Idiurus_macrotis,Placental,Rodentia,20.73,2.95,6.48,8.56,11.28,1.04,0.67,0.57,0.03
Zenkers_flying_squirrel,Idiurus_zenkeri,Placental,Rodentia,16.06,3.01,5.58,7.31,10.13,0.65,0.42,0.38,0.016
Short_nosed_bandicoot,Isoodon_obesulus,Marsupiala,Peramelemorphia,41.76,11.92,21.07,19.16,24.66,6.61,4.28,5.66,1
Viscacha,Lagostomus_trichodactylus,Placental,Rodentia,64.81,17.4,28.17,27.34,38.62,26.66,17.28,19.04,4.875
Norway_lemming,Lemmus_lemmus,Placental,Rodentia,20.54,3.54,8.66,7.75,13.34,0.93,0.6,0.67,0.076
Lemur,Lemur_catta,Placental,Primates,62.35,11.05,23.36,27.99,36.55,31.24,20.24,17.68,1.19
Brown_hare,Lepus_europeus,Placental,Rodentia,65.09,11.21,23.78,27.01,32.79,22.53,14.6,14.54,4.2
Arctic_hare,Lepus_timidus,Placental,Rodentia,58.45,11,23.5,25.73,30.84,20.14,13.05,12.14,4.2
Common_otter,Lutra_lutra,Placental,Carnivorans,86.67,19.58,42.99,37.26,56.04,84.3,54.62,51.68,9.5
Long_tailed_macaque,Macacus_cynomolgus,Placental,Primates,76.59,10.46,25.24,44.39,56.59,99.81,64.67,60.72,10
Barbary_macacque,Macacus_innuus,Placental,Primates,85.38,12.81,27.41,52.2,62.54,144.66,93.73,87.02,10
Grey_kangaroo,Macropus_giganteus,Marsupiala,Diprotodontia,98.86,27.14,44.46,53.3,47.55,99.98,64.78,60.32,42.5
Red_kangaroo,Macropus_rufus,Marsupiala,Diprotodontia,89.57,22.39,40.02,47.71,51.95,76.02,49.25,59.96,42.5
Elephant_shrew,Macroscelides_proboscidus,Placental,Macroscelidea,22.05,4.08,6.67,10.14,15.08,1.69,1.09,1.1,0.04
Bilby,Macrotis_lagotis,Marsupiala,Peramelemorphia,52.76,12.81,26.03,22.75,28.63,9.56,6.19,9.2,1.55
Salts_dikdik,Madoqua_saltina,Placental,Artiodactyla,62.37,11.66,24.79,36.06,40.11,37.71,24.43,26.67,5
Malayan_pangolin,Manis_javanica,Placental,Pholidota,50.98,13.06,25.7,24.87,34.43,17.33,11.23,13.38,17.75
Tree_pangolin,Manis_tricuspis,Placental,Pholidota,46.38,9.71,21.79,22.74,32.55,16.3,10.56,10.83,17.75
German_oppossom,Marmosa_germana,Marsupiala,Didelphimorphia,26.08,9.17,14.1,10.78,16.11,2.07,1.34,1.38,0.049
Alpine_marmott,Marmotta_marmotta,Placental,Rodentia,56.49,11.95,27.26,22.84,30.59,17.15,11.11,10.47,5.25
Pine_marten,Martes_martes,Placental,Carnivorans,58.54,12.84,28.59,26.06,34.6,26.94,17.45,14.76,1.3
Fisher_martin,Martes_pennantii,Placental,Carnivorans,82.91,22.91,42.26,32.9,45.41,54.67,35.42,32.12,3.15
Badger,Meles_meles,Placental,Carnivorans,86.63,23.46,43.39,38.33,52.49,81.73,52.95,48.01,13
Common_vole,Microtus_arvalis,Placental,Rodentia,18.85,2.16,6.58,7.74,10.87,0.61,0.39,0.47,0.049
Pallas_mastiff_bat,Molossus_molossus,Placental,Chiroptera,10.56,2.22,3.74,5.55,8.38,0.24,0.15,0.19,0.02
Leachs_Single_Leaf_Bat,Monophyllus_redmani,Placental,Chiroptera,14.78,4.13,7.03,7.77,9.96,0.62,0.4,0.39,0.011
Muntjack,Moschus_moschiferus,Placental,Artiodactyla,81.07,14.51,32.04,42.52,46.47,71.37,46.24,43.27,12.5
European_house_mouse,Mus_musculus,Placental,Rodentia,15.2,3.74,6.59,7.27,10.37,0.54,0.35,0.39,0.021
Stoat,Mustela_erminea,Placental,Carnivorans,36.51,9.51,18.79,15.54,21.52,6.8,4.41,3.52,0.204
Weasel,Mustela_nivalis,Placental,Carnivorans,30.75,5.76,14.27,12.79,17.43,3.76,2.44,1.96,0.138
Polecat,Mustela_putorius,Placental,Carnivorans,47.76,7.59,20.21,18.68,27.53,11.5,7.45,6.83,0.8
Nutria,Myocastor_coypus,Placental,Rodentia,61.61,13.43,25.85,24.39,32.43,21.93,14.21,12.63,7.5
Natterers_bat,Myotis_nattereri,Placental,Chiroptera,10.06,2.14,4.19,5.53,7.74,0.22,0.14,0.16,0.01
Numbat,Myrmecobius_fasciatus,Marsupiala,Dasyuromorphia,47.47,10.48,18.29,15.54,21.65,5.25,3.4,3.85,0.45
Giant_anteater,Myrmecophaga_tridactyla,Placental,Pilosa,214.43,33.88,58.55,44.93,60.3,139.35,90.29,92.76,28.5
Proboscis_monkey,Nasalis_larvatus,Placental,Primates,85.17,13.19,28.95,48.42,61.89,149.13,96.62,79.07,14.125
Coati,Nasua_narica,Placental,Carnivorans,75.02,14.68,32.43,34.97,43.24,48.32,31.31,30.75,4.75
African_noctule,Nyctalus_noctula,Placental,Chiroptera,11.56,2.5,5.26,6.27,10,0.37,0.24,0.29,0.028
Slow_loris,Nycticebus_tardigradus,Placental,Primates,44.81,8.21,16.99,23.35,29.68,13.91,9.01,9.53,155
Degu,Octodon_degus,Placental,Rodentia,29.52,5.63,13.65,12.87,15.12,2.95,1.91,1.55,0.235
Platypus,Ornithorhynchus_anatinus,Monotremata,Monotremata,39.46,15.49,23.84,21.8,33.07,15.64,10.14,10.12,1.25
Aardvark,Orycteropus_capensis,Placental,Tubulidentata,116.81,27.13,44.94,41.61,60.29,143.71,93.11,71.25,60
Rabbit,Oryctolagus_cuniculus,Placental,Lagomorpha,62.59,12.18,23.71,25.55,28.45,16.77,10.86,10.83,1.85
South_american_sea_lion,Otaria_flavecens,Placental,Carnivorans,230.21,57.1,97.36,106,111.32,955.12,618.82,611.69,230
Oribi,Ourebia_ourebi,Placental,Artiodactyla,92.6,14.91,35.52,45.5,51.5,94.26,61.07,56.86,17.5
Sheep,Ovis_aries,Placental,Artiodactyla,109.53,24.59,54.1,75.18,61.76,151.52,98.17,134.68,110
Chimpanzee,Pan_troglodytes,Placental,Primates,126.37,12.92,36.45,83.38,95.65,569.95,369.27,312.57,5
Savanna_baboon,Papio_papio,Placental,Primates,103.97,19.28,36.03,62.57,76.88,253.43,164.2,154.6,27.5
Asian_palm_civet,Paradoxurus_hermaphroditus,Placental,Carnivorans,78.2,17.16,34.24,28.98,35.51,31.09,20.14,18.75,3
Collared_peccary,Pecari_tajacu,Placental,Artiodactyla,113.57,18.56,41.13,65.56,55.36,141.83,91.89,99.29,22
Cape_jumping_hare,Pedetes_capensis,Placental,Lagomorpha,58.6,18.59,31.33,31.76,37.51,29.57,19.16,20.62,3.5
Eastern_barred_bandicoot,Perameles_gunni,Marsupiala,Peramelemorphia,40.97,7.56,12.44,18.15,22.52,5.85,3.79,4.61,0.675
Potto,Perodicticus_potto,Placental,Primates,47.39,6.76,20.83,22.98,31.4,17.9,11.6,10.41,2.9
Greater_glider,Petauroides_volans,Marsupiala,Diprotodontia,36.12,8.88,14.75,14.74,20.03,5.68,3.68,2.97,1.2
Sugar_glider,Petaurus_breviceps,Marsupiala,Diprotodontia,28.87,5.95,13.03,12.55,17.62,3.26,2.11,1.91,0.12
Gliding_phalanger,Petaurus_sp.,Marsupiala,Diprotodontia,39.63,9.99,17.41,15.92,23.49,7.11,4.61,4.26,0.28
